Model,RMSE,MAE,R2,Parameters
Persistence (naive),1.173853784317046,0.8702785533505896,0.9423070990781115,
Linear Regression,1.0418842304017262,0.7683333225251909,0.9545500617536077,
Dense MLP,3.141897527801386,2.91575562322775,0.5866876322969686,28865.0
GRU,1.1296055033164163,0.8544141829736032,0.9465745772874754,15809.0
Proposed LSTM,1.8232459669208023,1.367809200524765,0.8608174172962615,
