loss,mae,val_loss,val_mae,learning_rate
1.2813708782196045,0.08782219141721725,0.20228184759616852,0.08448486775159836,0.0010000000474974513
0.08808791637420654,0.06909512728452682,0.04790634661912918,0.07885678112506866,0.0010000000474974513
0.0340692363679409,0.05813303589820862,0.0281243696808815,0.06812909990549088,0.0010000000474974513
0.022490356117486954,0.052469685673713684,0.02120184153318405,0.0609172061085701,0.0010000000474974513
0.01853412389755249,0.050371408462524414,0.02035253681242466,0.06670919805765152,0.0010000000474974513
0.016942232847213745,0.04908376187086105,0.017214901745319366,0.05527423322200775,0.0010000000474974513
0.015678690746426582,0.046045005321502686,0.01619274914264679,0.05162878334522247,0.0010000000474974513
0.014712165109813213,0.0425923727452755,0.01559349987655878,0.0516936257481575,0.0010000000474974513
0.014036924578249454,0.04023701325058937,0.014626904390752316,0.04635362699627876,0.0010000000474974513
0.013551861979067326,0.039064474403858185,0.01423084456473589,0.046073321253061295,0.0010000000474974513
0.013340883888304234,0.03931182250380516,0.014133485965430737,0.04408266395330429,0.0010000000474974513
0.013121286407113075,0.03914584591984749,0.013253062032163143,0.04056457057595253,0.0010000000474974513
0.012830005027353764,0.03823230043053627,0.013727297075092793,0.045233104377985,0.0010000000474974513
0.012788687832653522,0.03873090818524361,0.01299709640443325,0.04077042639255524,0.0010000000474974513
0.012646978721022606,0.038399092853069305,0.012825450859963894,0.040031254291534424,0.0010000000474974513
0.012639472261071205,0.038609929382801056,0.012720007449388504,0.039841268211603165,0.0010000000474974513
0.012502338737249374,0.037698470056056976,0.012588763609528542,0.03847154229879379,0.0010000000474974513
0.012370011769235134,0.037394993007183075,0.01436489075422287,0.04948102682828903,0.0010000000474974513
0.012372295372188091,0.037621572613716125,0.01250332873314619,0.03808920457959175,0.0010000000474974513
0.012346208095550537,0.03744950890541077,0.012911406345665455,0.04536241292953491,0.0010000000474974513
0.008458510972559452,0.036912620067596436,0.008060876280069351,0.03746280446648598,0.0005000000237487257
0.008028797805309296,0.03598111495375633,0.008482077158987522,0.038249772042036057,0.0005000000237487257
0.008038857020437717,0.036400701850652695,0.010111908428370953,0.04879344627261162,0.0005000000237487257
0.007970189675688744,0.03592090308666229,0.008780664764344692,0.041356317698955536,0.0005000000237487257
0.005880709271878004,0.03626859933137894,0.006028769537806511,0.038723960518836975,0.0002500000118743628
0.005639444570988417,0.03563852980732918,0.006442404817789793,0.0414079986512661,0.0002500000118743628
0.005673149600625038,0.03617777302861214,0.006562183611094952,0.04123754799365997,0.0002500000118743628
0.005577125586569309,0.035528138279914856,0.006327183451503515,0.040182922035455704,0.0002500000118743628
0.004459742456674576,0.035393133759498596,0.005006563384085894,0.03932502865791321,0.0001250000059371814
0.004380793776363134,0.03540899604558945,0.005190672818571329,0.040888071060180664,0.0001250000059371814
