loss,mae,val_loss,val_mae,learning_rate
1.2482889890670776,0.10898366570472717,0.18158011138439178,0.1137811467051506,0.0010000000474974513
0.07657136768102646,0.09117256104946136,0.04417039826512337,0.10416556894779205,0.0010000000474974513
0.03221709281206131,0.0828140452504158,0.0321626290678978,0.10038056969642639,0.0010000000474974513
0.02364199608564377,0.06833372265100479,0.023461878299713135,0.07495824247598648,0.0010000000474974513
0.019266508519649506,0.055745016783475876,0.021497249603271484,0.07401369512081146,0.0010000000474974513
0.017826145514845848,0.05479235574603081,0.01932990550994873,0.06729734688997269,0.0010000000474974513
0.01668735034763813,0.05247649550437927,0.018280645832419395,0.06527139991521835,0.0010000000474974513
0.016112083569169044,0.05192461237311363,0.017163889482617378,0.061557427048683167,0.0010000000474974513
0.015365425497293472,0.049563705921173096,0.01694498211145401,0.05982759967446327,0.0010000000474974513
0.014973827637732029,0.048662327229976654,0.015939142554998398,0.05611890181899071,0.0010000000474974513
0.014662638306617737,0.047984618693590164,0.015971077606081963,0.057451386004686356,0.0010000000474974513
0.014297467656433582,0.046449147164821625,0.014844686724245548,0.05199392884969711,0.0010000000474974513
0.014008712023496628,0.045201774686574936,0.014812539331614971,0.051811862736940384,0.0010000000474974513
0.013893615454435349,0.04498927667737007,0.014217081479728222,0.048774298280477524,0.0010000000474974513
0.013668098486959934,0.043975602835416794,0.014030215330421925,0.04806952178478241,0.0010000000474974513
0.013562469743192196,0.043411221355199814,0.013987137004733086,0.04725656658411026,0.0010000000474974513
0.013403560034930706,0.04260658472776413,0.013560749590396881,0.04545339569449425,0.0010000000474974513
0.013209144584834576,0.041611332446336746,0.013598632998764515,0.04537270590662956,0.0010000000474974513
0.013177194632589817,0.0419248528778553,0.013453109189867973,0.04541565105319023,0.0010000000474974513
0.012987053021788597,0.04046459496021271,0.013615806587040424,0.047715604305267334,0.0010000000474974513
0.012947610579431057,0.040766097605228424,0.013228891417384148,0.04389870539307594,0.0010000000474974513
0.012836663983762264,0.03987409174442291,0.013693572022020817,0.047541387379169464,0.0010000000474974513
0.012853706255555153,0.04058660939335823,0.018355846405029297,0.07824428379535675,0.0010000000474974513
0.012939582578837872,0.0406220406293869,0.012743426486849785,0.04031616449356079,0.0010000000474974513
0.012679880484938622,0.03916937857866287,0.013927280902862549,0.04765765741467476,0.0010000000474974513
0.01282189879566431,0.040045663714408875,0.012792288325726986,0.04208275303244591,0.0010000000474974513
0.012580063194036484,0.03876730427145958,0.01319332979619503,0.04543587192893028,0.0010000000474974513
0.008492480032145977,0.037482548505067825,0.008518927730619907,0.0433095283806324,0.0005000000237487257
0.008202112279832363,0.038402240723371506,0.008272325620055199,0.038931697607040405,0.0005000000237487257
0.008144044317305088,0.0378580205142498,0.008657612837851048,0.04199332371354103,0.0005000000237487257
